clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Adaboost,ADASYN,haberman_10,0.154979842,0.683,0.636488889,0.245633225,0.635866093,0.189286772,0.659744444,0.640285714,0.042571321,0.219894283,0.097281874,0.064752799,0.100073039,0.109081032,0.0941917,0.083988013,9.753668785
Adaboost,AMSCO,haberman_10,0.159573245,0.498,0.734711111,0.231653742,0.469931921,0.176002526,0.616355556,0.715387755,0.082907857,0.278732953,0.131521999,0.09415887,0.20405015,0.128154038,0.091848311,0.103825166,1888.758502
Adaboost,Borderline_smote,haberman_10,0.210520129,0.5355,0.704,0.257000613,0.548447941,0.179980843,0.61975,0.690244898,0.107801593,0.231623617,0.148825806,0.094604027,0.140702864,0.137413947,0.089014445,0.129121001,10.13383887
Adaboost,EditedNearestNeighbours,haberman_10,0.066761905,0.085,0.975555556,0.068974026,0.11992544,0.049405952,0.530277778,0.902857143,0.108238149,0.139189527,0.03100451,0.110783174,0.1890247,0.106900405,0.05877852,0.020664294,6.548466134
Adaboost,Lee,haberman_10,0.160150305,0.667,0.646622222,0.246898183,0.62984829,0.18955782,0.656811111,0.648285714,0.0497837,0.227080083,0.098736414,0.065921756,0.09922398,0.109924343,0.092615322,0.083127323,103.4357496
Adaboost,NRAS,haberman_10,0.147767135,0.358,0.806533333,0.19018346,0.427256658,0.121339045,0.582266667,0.769918367,0.118118261,0.241626485,0.129112119,0.124877011,0.229151583,0.142010682,0.094700416,0.108965659,7.778144884
Adaboost,NearMiss,haberman_10,0.153367096,0.6515,0.6056,0.23444282,0.573657484,0.163262947,0.62855,0.609346939,0.070065127,0.264810437,0.176276513,0.092063723,0.155399086,0.137049469,0.109818686,0.149313101,8.776657367
Adaboost,ProWSyn,haberman_10,0.158144163,0.701,0.630711111,0.25057181,0.642703049,0.197406606,0.665855556,0.63644898,0.043534438,0.207268117,0.082621049,0.064475558,0.093334615,0.106466682,0.090605513,0.069392435,11.15220187
Adaboost,RandomOverSampler,haberman_10,0.187527656,0.5605,0.736088889,0.266305194,0.592373649,0.196854694,0.648294444,0.721755102,0.081949569,0.237203257,0.093945766,0.092199952,0.148576001,0.1363889,0.098960357,0.080015873,6.65475316
Adaboost,RandomUnderSampler,haberman_10,0.177218091,0.5745,0.680222222,0.259109609,0.551983892,0.173281169,0.627361111,0.671591837,0.073017559,0.19521751,0.094793763,0.072143596,0.10972965,0.110216779,0.076178396,0.077220127,6.504719734
