clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Adaboost,ADASYN,heart_failure_clinical_records_dataset_10,0.727857937,0.737,0.967121951,0.713168132,0.836099039,0.695575494,0.852060976,0.946666667,0.174560136,0.190045861,0.023463737,0.152913286,0.115841975,0.16502862,0.096220948,0.029000055,29.5839139
Adaboost,AMSCO,heart_failure_clinical_records_dataset_10,0.70287381,0.745,0.961317073,0.702579532,0.838195509,0.683999498,0.853158537,0.942088889,0.170418511,0.190728008,0.026075839,0.153993673,0.115089186,0.166692487,0.096410471,0.030653536,2624.60214
Adaboost,Borderline_smote,heart_failure_clinical_records_dataset_10,0.716507937,0.74,0.965658537,0.707464247,0.835730019,0.690155423,0.852829268,0.9456,0.169656258,0.188903993,0.022597462,0.151861532,0.116013415,0.165271194,0.096348485,0.027928152,28.72266657
Adaboost,EditedNearestNeighbours,heart_failure_clinical_records_dataset_10,0.788428571,0.75,0.975609756,0.744434343,0.846265288,0.734580939,0.862804878,0.955555556,0.178448891,0.20349871,0.02302714,0.147632073,0.121230338,0.151666486,0.100851783,0.025221107,24.05711365
Adaboost,Lee,heart_failure_clinical_records_dataset_10,0.72472619,0.7405,0.966585366,0.713236652,0.838217991,0.695675816,0.853542683,0.946488889,0.168483279,0.183611565,0.023174563,0.146502664,0.111416076,0.157907138,0.092526752,0.027734415,39.09731934
Adaboost,NRAS,heart_failure_clinical_records_dataset_10,0.646785714,0.427,0.990146341,0.492297451,0.539801141,0.490849891,0.708573171,0.940088889,0.338035464,0.340347121,0.014402942,0.324588791,0.333739247,0.330886831,0.169407521,0.032423408,26.23009439
Adaboost,NearMiss,heart_failure_clinical_records_dataset_10,0.313960701,0.87,0.75404878,0.43770729,0.802116567,0.424375404,0.81202439,0.764355556,0.09246181,0.156590456,0.095057248,0.093032694,0.076648513,0.110397436,0.076178814,0.082904654,19.60189924
Adaboost,ProWSyn,heart_failure_clinical_records_dataset_10,0.756383333,0.7365,0.972780488,0.730231025,0.838562207,0.71346237,0.854640244,0.951777778,0.153791228,0.185739052,0.018675666,0.148468363,0.114206703,0.158411161,0.094452849,0.025866698,30.11871614
Adaboost,RandomOverSampler,heart_failure_clinical_records_dataset_10,0.831685714,0.7545,0.980878049,0.769690909,0.852477839,0.761760015,0.867689024,0.960755556,0.153011963,0.174496398,0.019152001,0.130642982,0.104038121,0.131793434,0.086521744,0.021741069,25.14194169
Adaboost,RandomUnderSampler,heart_failure_clinical_records_dataset_10,0.380179005,0.8605,0.830634146,0.50654587,0.83810682,0.495508348,0.845567073,0.833288889,0.062303584,0.124915124,0.048631011,0.059353536,0.058363997,0.068877029,0.053941061,0.039304465,19.46349638
Adaboost,SMOTE,heart_failure_clinical_records_dataset_10,0.73302381,0.745,0.966829268,0.716958153,0.840844187,0.701351841,0.855914634,0.947111111,0.185016109,0.1957115,0.026248231,0.153178707,0.117051772,0.163928818,0.09843305,0.029479958,27.91297185
Adaboost,Smote_tomek,heart_failure_clinical_records_dataset_10,0.732761905,0.74,0.967804878,0.715735931,0.837352409,0.699481891,0.853902439,0.947555556,0.186973492,0.207744543,0.025099936,0.161199563,0.126811095,0.173248169,0.104490575,0.030620588,29.41908512
Adaboost,Tomek,heart_failure_clinical_records_dataset_10,0.842666667,0.735,0.983414634,0.763777778,0.841810238,0.757066507,0.859207317,0.961333333,0.157727286,0.198097628,0.017659643,0.142592321,0.118876959,0.142859603,0.098276084,0.021689367,24.73336055
Adaboost,kmeans_SMOTE,heart_failure_clinical_records_dataset_10,0.865738095,0.722,0.98595122,0.767250361,0.835536034,0.762083017,0.85397561,0.962488889,0.142146978,0.186222641,0.016184174,0.139502342,0.112204309,0.13981219,0.092435316,0.021808709,26.85734482
Adaboost,lvq_smote,heart_failure_clinical_records_dataset_10,0.676373016,0.7765,0.955560976,0.706626174,0.855072409,0.685940538,0.866030488,0.939644444,0.15039602,0.15772751,0.028759376,0.126985203,0.092366671,0.138079774,0.080618958,0.02980593,39.06341252
Adaboost,polynom_fit_SMOTE,heart_failure_clinical_records_dataset_10,0.806571429,0.725,0.979512195,0.746686869,0.83463391,0.734378282,0.852256098,0.956888889,0.176000916,0.193044477,0.019799728,0.16231606,0.11850477,0.171952565,0.098265247,0.028081569,27.48801157
Adaboost,pure,heart_failure_clinical_records_dataset_10,0.865238095,0.725,0.985853659,0.769544012,0.837633552,0.763888446,0.855426829,0.962666667,0.141664019,0.177907234,0.016151018,0.136726961,0.108129085,0.137164833,0.088919646,0.021409653,24.11121008
Catboost,ADASYN,heart_failure_clinical_records_dataset_10,0.742990476,0.7395,0.970585366,0.722118038,0.837799065,0.706287211,0.855042683,0.950044444,0.13794698,0.171608402,0.017232976,0.124313887,0.103964575,0.133536283,0.084868054,0.021823144,81.9891993
Catboost,AMSCO,heart_failure_clinical_records_dataset_10,0.726383333,0.7545,0.965609756,0.720691775,0.84556907,0.703468312,0.860054878,0.946844444,0.162515346,0.173354007,0.024247524,0.137734216,0.104544743,0.150977264,0.088694828,0.028623358,2728.563038
Catboost,Borderline_smote,heart_failure_clinical_records_dataset_10,0.735905556,0.7175,0.969707317,0.706194683,0.823572566,0.68955948,0.843603659,0.947288889,0.16614439,0.187403827,0.022568005,0.164474741,0.119931271,0.175513584,0.097586388,0.030074901,68.3839191
Catboost,EditedNearestNeighbours,heart_failure_clinical_records_dataset_10,0.771428571,0.765,0.975121951,0.74978355,0.855145429,0.736671701,0.870060976,0.956444444,0.143759273,0.181337264,0.017727717,0.130378656,0.107642208,0.135819508,0.090414065,0.021396901,41.70704811
Catboost,Lee,heart_failure_clinical_records_dataset_10,0.741429365,0.7405,0.970634146,0.723376068,0.838869538,0.706722148,0.855567073,0.950177778,0.141015753,0.176281415,0.017056969,0.127766759,0.106240437,0.1387913,0.087515177,0.022351149,91.36913192
Catboost,NRAS,heart_failure_clinical_records_dataset_10,0.718806349,0.4165,0.990097561,0.528741497,0.535699043,0.519351708,0.70329878,0.939111111,0.283679281,0.315290257,0.011849214,0.262402986,0.325752631,0.274838755,0.156362337,0.027319005,59.93998129
Catboost,NearMiss,heart_failure_clinical_records_dataset_10,0.302250835,0.85,0.749268293,0.42718678,0.790200653,0.40727457,0.799634146,0.758222222,0.086800129,0.129204328,0.107405995,0.10043638,0.082717939,0.120209451,0.079322315,0.094838797,30.90883775
Catboost,ProWSyn,heart_failure_clinical_records_dataset_10,0.757525397,0.74,0.97297561,0.730228227,0.839473546,0.715150689,0.856487805,0.952266667,0.138633259,0.173983686,0.016359957,0.128996332,0.105941538,0.138586945,0.08661045,0.021784125,90.94874949
Catboost,RandomOverSampler,heart_failure_clinical_records_dataset_10,0.816114286,0.744,0.980243902,0.756680231,0.843533341,0.747920046,0.862121951,0.959244444,0.128487387,0.182787621,0.014645803,0.13098453,0.112276046,0.134058041,0.091052741,0.02016692,43.31160927
Catboost,RandomUnderSampler,heart_failure_clinical_records_dataset_10,0.392587062,0.8575,0.837756098,0.519545749,0.8407685,0.505740817,0.847628049,0.839511111,0.064929528,0.122723591,0.041252804,0.071802705,0.064673435,0.084049496,0.059452504,0.035746627,30.93087134
Catboost,SMOTE,heart_failure_clinical_records_dataset_10,0.762,0.74,0.972195122,0.732909091,0.840832614,0.717282841,0.856097561,0.951555556,0.18125123,0.194359625,0.024184263,0.155609728,0.114870634,0.168206429,0.099121315,0.029761777,77.72531219
Catboost,Smote_tomek,heart_failure_clinical_records_dataset_10,0.76147619,0.75,0.972195122,0.739002886,0.847526677,0.723024489,0.861097561,0.952444444,0.175302026,0.167798498,0.023464095,0.131390747,0.097476336,0.144492695,0.083718519,0.026096253,77.16904216
Catboost,Tomek,heart_failure_clinical_records_dataset_10,0.866666667,0.73,0.985853659,0.766285714,0.837672683,0.764387162,0.857926829,0.963111111,0.170106169,0.205158639,0.017844687,0.14837538,0.125195072,0.14742896,0.101789685,0.021820989,43.35477962
Catboost,kmeans_SMOTE,heart_failure_clinical_records_dataset_10,0.875033333,0.7445,0.986195122,0.78105873,0.848006163,0.778074579,0.865347561,0.964711111,0.159801814,0.179426182,0.017901127,0.133692739,0.110384537,0.131007167,0.088294689,0.020245664,49.36848779
Catboost,lvq_smote,heart_failure_clinical_records_dataset_10,0.748297619,0.773,0.969560976,0.7412114,0.857521694,0.726711336,0.871280488,0.952088889,0.149226965,0.164588299,0.019556472,0.118513658,0.097197321,0.12833898,0.081482398,0.022093049,68.37555394
Catboost,polynom_fit_SMOTE,heart_failure_clinical_records_dataset_10,0.849,0.7,0.983414634,0.740174603,0.8196002,0.737213571,0.841707317,0.958222222,0.18002874,0.200982835,0.019313454,0.14258688,0.122496132,0.144283863,0.098580309,0.022088769,67.93258345
Catboost,pure,heart_failure_clinical_records_dataset_10,0.884,0.74,0.987317073,0.783238095,0.846175085,0.78062538,0.863658537,0.965333333,0.159808062,0.180922189,0.017905878,0.136683975,0.111464434,0.133800522,0.089305127,0.020743575,42.55007601
DecisionTree,ADASYN,heart_failure_clinical_records_dataset_10,0.690023016,0.7335,0.961073171,0.688788434,0.830250745,0.670261157,0.847286585,0.940844444,0.083256841,0.163800971,0.012216452,0.108883427,0.097953291,0.115796009,0.080087561,0.017489842,1.373263788
DecisionTree,AMSCO,heart_failure_clinical_records_dataset_10,0.674489194,0.724,0.95595122,0.671533567,0.821987829,0.652990921,0.83997561,0.935333333,0.106803613,0.152280642,0.02017907,0.100297806,0.089643977,0.107359461,0.073507191,0.020148288,2604.722484
DecisionTree,Borderline_smote,heart_failure_clinical_records_dataset_10,0.673332756,0.7115,0.958536585,0.668042968,0.815369217,0.648123309,0.835018293,0.936577778,0.116274627,0.167543908,0.016812231,0.125101651,0.10375857,0.134462501,0.084166551,0.021625288,1.378568125
DecisionTree,EditedNearestNeighbours,heart_failure_clinical_records_dataset_10,0.661223593,0.7445,0.956926829,0.679996037,0.833882148,0.660030209,0.850713415,0.938044444,0.093606845,0.171728264,0.015603729,0.113879926,0.103044239,0.122101693,0.084822123,0.018674636,0.668101168
DecisionTree,Lee,heart_failure_clinical_records_dataset_10,0.69369127,0.725,0.960878049,0.684097319,0.823763937,0.666497628,0.842939024,0.939911111,0.105974711,0.169183683,0.016897383,0.115845111,0.103684597,0.123127986,0.083689942,0.020782258,11.22027411
DecisionTree,NRAS,heart_failure_clinical_records_dataset_10,0.594987566,0.3815,0.982829268,0.495168067,0.488192263,0.441254945,0.682164634,0.929377778,0.26651904,0.290834658,0.00998748,0.225659663,0.3121128,0.277927503,0.14399968,0.024703382,2.541402721
DecisionTree,NearMiss,heart_failure_clinical_records_dataset_10,0.230833363,0.859,0.624097561,0.34398165,0.715520875,0.314190314,0.74154878,0.644977778,0.046726665,0.112346145,0.097145011,0.056642771,0.056681262,0.071831044,0.051788307,0.083675143,0.899294424
